Macrophyte Type,Amphi,Iso,Shrimp,Capre,Cope,Tanaid,Polychaete (mot),Crabby,Sea spider,Anemone,Sea cuc,Brittle,Feather Hydroid,Urchin,Gastropod,Fanworm,Polychaetes (sess),Ascidian (colonial),FISH,SR,TA,SW Index
Sarg,23.37,0.00,1.80,8.99,0.00,0.90,2.70,0.90,0.00,0.00,0.00,0.45,0.00,0.00,6.29,0.00,0.00,0.00,0.00,8,45.40,1.43
Sarg,22.65,1.22,3.06,0.61,34.89,6.73,0.00,0.61,0.00,0.00,1.22,0.00,0.00,0.00,4.28,0.61,0.00,0.00,0.00,10,75.90,1.47
Sarg,2.57,0.64,2.90,1.61,0.00,1.93,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,1.29,0.00,0.00,0.00,0.00,,11.27,1.78
Sarg,0.00,1.97,14.78,0.00,0.00,0.00,4.93,0.00,0.00,0.00,0.00,0.49,0.00,0.00,4.93,0.00,0.00,0.00,0.00,5,27.09,1.21
Sarg,8.46,0.00,5.24,0.00,0.00,0.00,0.81,0.00,0.00,0.00,,0.00,0.00,0.00,2.82,0.00,0.00,0.00,0.00,4,17.32,1.15
Sarg,,0.00,2.53,0.00,30.37,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.28,0.00,,0.00,0.00,4,35.93,0.59
Sarg,7.43,3.25,8.35,1.39,0.00,0.00,1.39,0.00,0.93,0.00,0.00,1.39,0.00,0.00,0.00,0.93,0.00,0.00,0.00,8,25.06,1.72
Eck,0.33,0.00,0.00,0.00,15.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,2,15.97,0.10
Eck,1.80,0.00,0.00,0.00,36.25,0.00,0.23,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,38.39,0.24
Eck,0.94,0.00,0.00,0.00,213.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2,214.67,0.03
Eck,1.83,0.26,0.00,0.00,16.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,3,18.54,0.39
Eck,0.00,0.00,0.44,0.00,31.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.00,0.00,0.00,4,32.95,0.21
Eck,1.74,0.00,0.99,0.00,31.80,0.00,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,8,36.02,0.55
Eck,0.45,0.00,0.00,0.00,55.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,56.34,0.05
Amph,0.00,0.00,1.06,0.00,0.00,0.00,1.59,0.00,0.66,0.13,0.00,0.00,0.93,0.00,1.85,0.00,1.72,0.13,0.00,8,8.08,1.86
Amph,1.20,0.17,2.40,0.00,0.34,0.17,1.03,0.00,1.54,1.37,0.00,0.17,0.00,0.00,1.54,0.17,0.00,0.00,0.00,11,10.12,2.06
Amph,2.46,0.92,0.00,0.00,0.00,,0.00,0.00,2.00,0.15,0.00,0.15,0.46,0.00,1.39,1.54,0.00,0.00,0.31,9,9.39,1.91
Amph,1.50,0.50,0.83,0.00,0.00,0.00,3.83,0.50,0.83,0.33,0.00,0.00,0.17,0.00,1.17,0.00,0.00,0.33,0.00,10,10.00,1.94
Amph,0.11,0.00,0.00,0.00,0.00,0.11,0.11,0.23,1.15,0.11,0.00,0.11,0.34,0.00,1.38,0.23,0.00,0.11,0.00,11,4.01,1.90
Amph,0.31,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,1.23,0.00,0.00,0.08,0.00,5,,1.19
Amph,0.05,0.00,0.60,0.05,0.87,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.76,0.00,0.00,0.00,0.00,7,3.20,1.65
Amph,,,,,,,,,,,,,,,,,,,,,,
Amph,,,,,,,,,,,,,,,,,,,,,,
